location,continent,date,population,new_cases,total_cases,new_deaths,total_deaths,new_vaccinations,total_vaccinations
Australia,Oceania,2020-03-27,25499881,432.99,10664.22,11.44,248.45,0.0,0.0
Australia,Oceania,2020-03-28,25499881,465.36,11129.58,8.09,256.54,0.0,0.0
Australia,Oceania,2020-03-29,25499881,102.17,11231.75,0.0,256.54,0.0,0.0
Australia,Oceania,2020-03-30,25499881,751.04,11982.8,7.22,263.76,0.0,0.0
Australia,Oceania,2020-03-31,25499881,423.74,12406.54,12.54,276.3,0.0,0.0
Australia,Oceania,2020-04-01,25499881,628.4,13034.94,0.0,276.3,0.0,0.0
Australia,Oceania,2020-04-02,25499881,74.93,13109.87,0.0,276.3,0.0,0.0
Australia,Oceania,2020-04-03,25499881,451.52,13561.39,4.86,281.16,0.0,0.0
Australia,Oceania,2020-04-04,25499881,918.86,14480.26,28.09,309.25,0.0,0.0
Australia,Oceania,2020-04-05,25499881,895.86,15376.12,5.37,314.62,0.0,0.0
Australia,Oceania,2020-04-06,25499881,299.37,15675.49,7.55,322.17,0.0,0.0
Australia,Oceania,2020-04-07,25499881,410.23,16085.71,7.0,329.18,0.0,0.0
Australia,Oceania,2020-04-08,25499881,278.53,16364.24,0.0,329.18,0.0,0.0
Australia,Oceania,2020-04-09,25499881,418.86,16783.1,6.32,335.49,0.0,0.0
Australia,Oceania,2020-04-10,25499881,183.62,16966.73,0.0,335.49,0.0,0.0
Australia,Oceania,2020-04-11,25499881,650.28,17617.01,4.94,340.43,0.0,0.0
Australia,Oceania,2020-04-12,25499881,946.25,18563.26,0.0,340.43,0.0,0.0
Australia,Oceania,2020-04-13,25499881,476.55,19039.8,5.52,345.96,0.0,0.0
Australia,Oceania,2020-04-14,25499881,746.93,19786.73,16.16,362.11,0.0,0.0
Australia,Oceania,2020-04-15,25499881,729.46,20516.2,9.21,371.33,0.0,0.0
Australia,Oceania,2020-04-16,25499881,1204.59,21720.79,23.18,394.51,0.0,0.0
Australia,Oceania,2020-04-17,25499881,650.57,22371.36,12.45,406.96,0.0,0.0
Australia,Oceania,2020-04-18,25499881,693.29,23064.65,7.84,414.8,0.0,0.0
Australia,Oceania,2020-04-19,25499881,629.17,23693.82,2.53,417.33,0.0,0.0
Australia,Oceania,2020-04-20,25499881,558.46,24252.29,2.81,420.14,0.0,0.0
Australia,Oceania,2020-04-21,25499881,1173.78,25426.07,2.32,422.46,0.0,0.0
Australia,Oceania,2020-04-22,25499881,973.9,26399.97,9.55,432.01,0.0,0.0
Australia,Oceania,2020-04-23,25499881,1073.65,27473.62,14.05,446.06,0.0,0.0
Australia,Oceania,2020-04-24,25499881,1534.5,29008.12,32.14,478.2,0.0,0.0
Australia,Oceania,2020-04-25,25499881,1589.16,30597.28,23.3,501.49,0.0,0.0
Australia,Oceania,2020-04-26,25499881,581.92,31179.19,0.06,501.56,0.0,0.0
Australia,Oceania,2020-04-27,25499881,1420.63,32599.82,5.53,507.09,0.0,0.0
Australia,Oceania,2020-04-28,25499881,1309.26,33909.08,14.06,521.15,0.0,0.0
Australia,Oceania,2020-04-29,25499881,1105.71,35014.79,19.76,540.91,0.0,0.0
Australia,Oceania,2020-04-30,25499881,1419.52,36434.32,15.27,556.18,0.0,0.0
Australia,Oceania,2020-05-01,25499881,738.74,37173.05,13.2,569.38,0.0,0.0
Australia,Oceania,2020-05-02,25499881,1893.58,39066.64,21.27,590.66,0.0,0.0
Australia,Oceania,2020-05-03,25499881,1601.11,40667.75,24.95,615.61,0.0,0.0
Australia,Oceania,2020-05-04,25499881,1157.8,41825.55,1.12,616.72,0.0,0.0
Australia,Oceania,2020-05-05,25499881,1295.97,43121.53,28.39,645.11,0.0,0.0
Australia,Oceania,2020-05-06,25499881,945.49,44067.02,2.45,647.55,0.0,0.0
Australia,Oceania,2020-05-07,25499881,1472.9,45539.91,24.02,671.58,0.0,0.0
Australia,Oceania,2020-05-08,25499881,1455.45,46995.36,15.29,686.86,0.0,0.0
Australia,Oceania,2020-05-09,25499881,1202.66,48198.03,13.51,700.37,0.0,0.0
Australia,Oceania,2020-05-10,25499881,1980.74,50178.77,21.84,722.21,0.0,0.0
Australia,Oceania,2020-05-11,25499881,2198.58,52377.34,28.43,750.64,0.0,0.0
Australia,Oceania,2020-05-12,25499881,1785.27,54162.62,25.08,775.72,0.0,0.0
Australia,Oceania,2020-05-13,25499881,1731.34,55893.96,29.24,804.96,0.0,0.0
Australia,Oceania,2020-05-14,25499881,2034.32,57928.28,35.68,840.64,0.0,0.0
Australia,Oceania,2020-05-15,25499881,1919.22,59847.49,25.69,866.32,0.0,0.0
Australia,Oceania,2020-05-16,25499881,1591.57,61439.06,32.81,899.13,0.0,0.0
Australia,Oceania,2020-05-17,25499881,1786.34,63225.41,22.18,921.31,0.0,0.0
Australia,Oceania,2020-05-18,25499881,1955.64,65181.05,32.09,953.4,0.0,0.0
Australia,Oceania,2020-05-19,25499881,2191.0,67372.05,29.72,983.12,0.0,0.0
Australia,Oceania,2020-05-20,25499881,2152.25,69524.3,21.43,1004.56,0.0,0.0
Australia,Oceania,2020-05-21,25499881,2267.53,71791.84,28.66,1033.22,0.0,0.0
Australia,Oceania,2020-05-22,25499881,1705.16,73497.0,24.49,1057.7,0.0,0.0
Australia,Oceania,2020-05-23,25499881,2516.62,76013.62,29.94,1087.64,0.0,0.0
Australia,Oceania,2020-05-24,25499881,2329.89,78343.51,31.26,1118.91,0.0,0.0
Australia,Oceania,2020-05-25,25499881,3266.97,81610.48,46.13,1165.03,0.0,0.0
Australia,Oceania,2020-05-26,25499881,2282.56,83893.04,27.2,1192.24,0.0,0.0
Australia,Oceania,2020-05-27,25499881,2576.0,86469.05,7.36,1199.6,0.0,0.0
Australia,Oceania,2020-05-28,25499881,3497.39,89966.44,55.39,1254.99,0.0,0.0
Australia,Oceania,2020-05-29,25499881,2619.23,92585.66,29.05,1284.04,0.0,0.0
Australia,Oceania,2020-05-30,25499881,2571.49,95157.16,24.27,1308.31,0.0,0.0
Australia,Oceania,2020-05-31,25499881,2293.3,97450.45,18.53,1326.84,0.0,0.0
Australia,Oceania,2020-06-01,25499881,3216.82,100667.27,35.91,1362.75,0.0,0.0
Australia,Oceania,2020-06-02,25499881,2319.06,102986.33,23.33,1386.08,0.0,0.0
Australia,Oceania,2020-06-03,25499881,2916.62,105902.94,29.1,1415.18,0.0,0.0
Australia,Oceania,2020-06-04,25499881,2643.3,108546.24,26.26,1441.44,0.0,0.0
Australia,Oceania,2020-06-05,25499881,2784.18,111330.42,37.65,1479.09,0.0,0.0
Australia,Oceania,2020-06-06,25499881,2392.92,113723.35,44.96,1524.05,0.0,0.0
Australia,Oceania,2020-06-07,25499881,3401.66,117125.0,47.38,1571.43,0.0,0.0
Australia,Oceania,2020-06-08,25499881,2873.97,119998.97,43.47,1614.9,0.0,0.0
Australia,Oceania,2020-06-09,25499881,2584.88,122583.84,28.0,1642.9,0.0,0.0
Australia,Oceania,2020-06-10,25499881,3486.85,126070.7,42.68,1685.58,0.0,0.0
Australia,Oceania,2020-06-11,25499881,2909.47,128980.16,38.33,1723.91,0.0,0.0
Australia,Oceania,2020-06-12,25499881,3239.75,132219.91,33.6,1757.51,0.0,0.0
Australia,Oceania,2020-06-13,25499881,3453.03,135672.93,38.03,1795.54,0.0,0.0
Australia,Oceania,2020-06-14,25499881,3359.48,139032.41,47.15,1842.69,0.0,0.0
Australia,Oceania,2020-06-15,25499881,2458.88,141491.3,38.23,1880.92,0.0,0.0
Australia,Oceania,2020-06-16,25499881,3504.29,144995.59,42.59,1923.51,0.0,0.0
Australia,Oceania,2020-06-17,25499881,3257.94,148253.53,29.53,1953.04,0.0,0.0
Australia,Oceania,2020-06-18,25499881,3209.24,151462.77,36.15,1989.19,0.0,0.0
Australia,Oceania,2020-06-19,25499881,3316.44,154779.21,28.27,2017.45,0.0,0.0
Australia,Oceania,2020-06-20,25499881,2820.25,157599.46,34.44,2051.9,0.0,0.0
Australia,Oceania,2020-06-21,25499881,3479.08,161078.54,43.79,2095.69,0.0,0.0
Australia,Oceania,2020-06-22,25499881,2961.22,164039.76,33.37,2129.06,0.0,0.0
Australia,Oceania,2020-06-23,25499881,3364.5,167404.27,42.31,2171.37,0.0,0.0
Australia,Oceania,2020-06-24,25499881,3543.85,170948.11,45.86,2217.23,0.0,0.0
Australia,Oceania,2020-06-25,25499881,3888.48,174836.59,48.72,2265.95,0.0,0.0
Australia,Oceania,2020-06-26,25499881,3247.89,178084.48,29.36,2295.31,0.0,0.0
Australia,Oceania,2020-06-27,25499881,4063.75,182148.24,46.74,2342.05,0.0,0.0
Australia,Oceania,2020-06-28,25499881,3906.77,186055.01,50.16,2392.21,0.0,0.0
Australia,Oceania,2020-06-29,25499881,3443.47,189498.47,53.95,2446.16,0.0,0.0
Australia,Oceania,2020-06-30,25499881,3222.79,192721.26,36.5,2482.66,0.0,0.0
Australia,Oceania,2020-07-01,25499881,3121.29,195842.55,41.86,2524.52,0.0,0.0
Australia,Oceania,2020-07-02,25499881,3736.18,199578.73,51.86,2576.38,0.0,0.0
Australia,Oceania,2020-07-03,25499881,3396.11,202974.84,39.18,2615.56,0.0,0.0
Australia,Oceania,2020-07-04,25499881,4085.68,207060.52,58.22,2673.77,0.0,0.0
Australia,Oceania,2020-07-05,25499881,3438.45,210498.97,50.88,2724.65,0.0,0.0
Australia,Oceania,2020-07-06,25499881,3370.07,213869.04,51.48,2776.14,0.0,0.0
Australia,Oceania,2020-07-07,25499881,3774.71,217643.75,48.96,2825.1,0.0,0.0
Australia,Oceania,2020-07-08,25499881,3459.1,221102.85,60.39,2885.49,0.0,0.0
Australia,Oceania,2020-07-09,25499881,3707.1,224809.95,39.56,2925.05,0.0,0.0
Australia,Oceania,2020-07-10,25499881,4052.72,228862.66,65.63,2990.68,0.0,0.0
Australia,Oceania,2020-07-11,25499881,3750.79,232613.46,51.16,3041.83,0.0,0.0
Australia,Oceania,2020-07-12,25499881,3752.88,236366.34,55.76,3097.59,0.0,0.0
Australia,Oceania,2020-07-13,25499881,3781.76,240148.09,42.82,3140.41,0.0,0.0
Australia,Oceania,2020-07-14,25499881,3115.44,243263.53,44.14,3184.55,0.0,0.0
Australia,Oceania,2020-07-15,25499881,3841.89,247105.42,57.52,3242.07,0.0,0.0
Australia,Oceania,2020-07-16,25499881,3756.12,250861.54,36.37,3278.45,0.0,0.0
Australia,Oceania,2020-07-17,25499881,4006.73,254868.27,46.77,3325.22,0.0,0.0
Australia,Oceania,2020-07-18,25499881,3899.04,258767.31,29.66,3354.88,0.0,0.0
Australia,Oceania,2020-07-19,25499881,3607.82,262375.13,41.87,3396.75,0.0,0.0
Australia,Oceania,2020-07-20,25499881,4030.08,266405.21,41.83,3438.58,0.0,0.0
Australia,Oceania,2020-07-21,25499881,3555.33,269960.54,40.92,3479.5,0.0,0.0
Australia,Oceania,2020-07-22,25499881,3732.04,273692.57,68.17,3547.68,0.0,0.0
Australia,Oceania,2020-07-23,25499881,3523.23,277215.8,56.02,3603.7,0.0,0.0
Australia,Oceania,2020-07-24,25499881,3779.17,280994.97,33.83,3637.53,0.0,0.0
Australia,Oceania,2020-07-25,25499881,3470.08,284465.05,46.09,3683.62,0.0,0.0
Australia,Oceania,2020-07-26,25499881,4161.68,288626.74,56.33,3739.95,0.0,0.0
Australia,Oceania,2020-07-27,25499881,4273.23,292899.97,48.58,3788.53,0.0,0.0
Australia,Oceania,2020-07-28,25499881,3854.1,296754.07,47.68,3836.2,0.0,0.0
Australia,Oceania,2020-07-29,25499881,4067.74,300821.81,51.02,3887.22,0.0,0.0
Australia,Oceania,2020-07-30,25499881,2968.65,303790.45,24.85,3912.07,0.0,0.0
Australia,Oceania,2020-07-31,25499881,2988.04,306778.49,27.61,3939.68,0.0,0.0
Australia,Oceania,2020-08-01,25499881,3350.23,310128.72,41.58,3981.26,0.0,0.0
Australia,Oceania,2020-08-02,25499881,3453.59,313582.31,42.24,4023.5,0.0,0.0
Australia,Oceania,2020-08-03,25499881,3345.36,316927.67,34.48,4057.97,0.0,0.0
Australia,Oceania,2020-08-04,25499881,2814.78,319742.45,27.42,4085.4,0.0,0.0
Australia,Oceania,2020-08-05,25499881,3766.64,323509.09,44.48,4129.88,0.0,0.0
Australia,Oceania,2020-08-06,25499881,4090.91,327600.0,56.18,4186.06,0.0,0.0
Australia,Oceania,2020-08-07,25499881,3757.99,331357.99,44.48,4230.54,0.0,0.0
Australia,Oceania,2020-08-08,25499881,3661.68,335019.67,56.92,4287.46,0.0,0.0
Australia,Oceania,2020-08-09,25499881,3332.43,338352.09,34.42,4321.89,0.0,0.0
Australia,Oceania,2020-08-10,25499881,2929.26,341281.35,36.7,4358.58,0.0,0.0
Australia,Oceania,2020-08-11,25499881,3220.24,344501.59,35.81,4394.39,0.0,0.0
Australia,Oceania,2020-08-12,25499881,3901.94,348403.53,51.53,4445.92,0.0,0.0
Australia,Oceania,2020-08-13,25499881,3011.53,351415.06,29.89,4475.8,0.0,0.0
Australia,Oceania,2020-08-14,25499881,2944.91,354359.97,50.76,4526.56,0.0,0.0
Australia,Oceania,2020-08-15,25499881,3460.83,357820.8,28.01,4554.57,0.0,0.0
Australia,Oceania,2020-08-16,25499881,3452.96,361273.75,55.16,4609.73,0.0,0.0
Australia,Oceania,2020-08-17,25499881,2714.1,363987.85,33.29,4643.01,0.0,0.0
Australia,Oceania,2020-08-18,25499881,2887.91,366875.76,39.07,4682.09,0.0,0.0
Australia,Oceania,2020-08-19,25499881,2772.22,369647.98,43.94,4726.03,0.0,0.0
Australia,Oceania,2020-08-20,25499881,2940.69,372588.67,42.15,4768.18,0.0,0.0
Australia,Oceania,2020-08-21,25499881,3271.0,375859.67,33.41,4801.59,0.0,0.0
Australia,Oceania,2020-08-22,25499881,2571.74,378431.41,35.66,4837.25,0.0,0.0
Australia,Oceania,2020-08-23,25499881,3203.07,381634.48,53.38,4890.63,0.0,0.0
Australia,Oceania,2020-08-24,25499881,2825.94,384460.42,26.81,4917.44,0.0,0.0
Australia,Oceania,2020-08-25,25499881,3573.37,388033.79,59.83,4977.27,0.0,0.0
Australia,Oceania,2020-08-26,25499881,2839.86,390873.65,37.16,5014.44,0.0,0.0
Australia,Oceania,2020-08-27,25499881,2663.68,393537.33,28.5,5042.93,0.0,0.0
Australia,Oceania,2020-08-28,25499881,2868.38,396405.71,27.27,5070.21,0.0,0.0
Australia,Oceania,2020-08-29,25499881,2519.21,398924.92,28.44,5098.65,0.0,0.0
Australia,Oceania,2020-08-30,25499881,1979.24,400904.16,8.11,5106.76,0.0,0.0
Australia,Oceania,2020-08-31,25499881,2494.2,403398.36,26.61,5133.37,0.0,0.0
Australia,Oceania,2020-09-01,25499881,2459.94,405858.3,27.42,5160.79,0.0,0.0
Australia,Oceania,2020-09-02,25499881,1964.1,407822.4,14.97,5175.76,0.0,0.0
Australia,Oceania,2020-09-03,25499881,2468.16,410290.56,35.6,5211.36,0.0,0.0
Australia,Oceania,2020-09-04,25499881,1743.12,412033.68,19.17,5230.53,0.0,0.0
Australia,Oceania,2020-09-05,25499881,2318.41,414352.09,22.73,5253.26,0.0,0.0
Australia,Oceania,2020-09-06,25499881,2499.5,416851.59,27.39,5280.65,0.0,0.0
Australia,Oceania,2020-09-07,25499881,2423.0,419274.6,31.92,5312.57,0.0,0.0
Australia,Oceania,2020-09-08,25499881,2220.7,421495.3,27.23,5339.8,0.0,0.0
Australia,Oceania,2020-09-09,25499881,2310.89,423806.19,22.12,5361.93,0.0,0.0
Australia,Oceania,2020-09-10,25499881,2043.42,425849.61,25.53,5387.45,0.0,0.0
Australia,Oceania,2020-09-11,25499881,2299.44,428149.05,27.19,5414.64,0.0,0.0
Australia,Oceania,2020-09-12,25499881,2294.61,430443.66,18.42,5433.06,0.0,0.0
Australia,Oceania,2020-09-13,25499881,1938.65,432382.31,20.96,5454.02,0.0,0.0
Australia,Oceania,2020-09-14,25499881,2327.75,434710.06,32.57,5486.58,0.0,0.0
Australia,Oceania,2020-09-15,25499881,2306.77,437016.82,32.26,5518.84,0.0,0.0
Australia,Oceania,2020-09-16,25499881,2139.19,439156.01,23.83,5542.67,0.0,0.0
Australia,Oceania,2020-09-17,25499881,3027.75,442183.76,41.75,5584.42,0.0,0.0
Australia,Oceania,2020-09-18,25499881,2115.1,444298.86,17.54,5601.96,0.0,0.0
Australia,Oceania,2020-09-19,25499881,2051.52,446350.38,17.03,5618.99,0.0,0.0
Australia,Oceania,2020-09-20,25499881,1987.28,448337.66,21.84,5640.83,0.0,0.0
Australia,Oceania,2020-09-21,25499881,1782.14,450119.8,33.37,5674.19,0.0,0.0
Australia,Oceania,2020-09-22,25499881,2349.86,452469.66,29.5,5703.7,0.0,0.0
Australia,Oceania,2020-09-23,25499881,1858.44,454328.1,20.1,5723.8,0.0,0.0
Australia,Oceania,2020-09-24,25499881,1889.68,456217.78,35.03,5758.82,0.0,0.0
Australia,Oceania,2020-09-25,25499881,1890.91,458108.69,20.4,5779.22,0.0,0.0
Australia,Oceania,2020-09-26,25499881,1726.42,459835.11,38.59,5817.81,0.0,0.0
Australia,Oceania,2020-09-27,25499881,1451.14,461286.24,13.32,5831.14,0.0,0.0
Australia,Oceania,2020-09-28,25499881,1895.87,463182.11,14.66,5845.79,0.0,0.0
Australia,Oceania,2020-09-29,25499881,2358.47,465540.58,26.97,5872.77,0.0,0.0
Australia,Oceania,2020-09-30,25499881,2117.67,467658.25,23.42,5896.18,0.0,0.0
Australia,Oceania,2020-10-01,25499881,2591.86,470250.11,24.64,5920.83,0.0,0.0
Australia,Oceania,2020-10-02,25499881,2306.44,472556.55,48.49,5969.32,0.0,0.0
Australia,Oceania,2020-10-03,25499881,2225.94,474782.49,29.26,5998.58,0.0,0.0
Australia,Oceania,2020-10-04,25499881,2701.43,477483.91,36.13,6034.71,0.0,0.0
Australia,Oceania,2020-10-05,25499881,2009.44,479493.35,20.42,6055.13,0.0,0.0
Australia,Oceania,2020-10-06,25499881,2067.43,481560.78,20.19,6075.32,0.0,0.0
Australia,Oceania,2020-10-07,25499881,2044.23,483605.02,32.74,6108.05,0.0,0.0
Australia,Oceania,2020-10-08,25499881,2592.42,486197.44,17.7,6125.75,0.0,0.0
Australia,Oceania,2020-10-09,25499881,2057.77,488255.21,15.55,6141.3,0.0,0.0
Australia,Oceania,2020-10-10,25499881,1835.72,490090.94,20.05,6161.35,0.0,0.0
Australia,Oceania,2020-10-11,25499881,2274.95,492365.89,38.11,6199.46,0.0,0.0
Australia,Oceania,2020-10-12,25499881,1791.12,494157.01,18.5,6217.96,0.0,0.0
Australia,Oceania,2020-10-13,25499881,2271.96,496428.97,30.59,6248.55,0.0,0.0
Australia,Oceania,2020-10-14,25499881,2239.39,498668.36,27.09,6275.65,0.0,0.0
Australia,Oceania,2020-10-15,25499881,2038.39,500706.76,34.83,6310.48,0.0,0.0
Australia,Oceania,2020-10-16,25499881,2313.69,503020.44,15.09,6325.56,0.0,0.0
Australia,Oceania,2020-10-17,25499881,1606.7,504627.15,25.17,6350.73,0.0,0.0
Australia,Oceania,2020-10-18,25499881,2197.02,506824.17,24.77,6375.5,0.0,0.0
Australia,Oceania,2020-10-19,25499881,1991.34,508815.51,31.3,6406.8,0.0,0.0
Australia,Oceania,2020-10-20,25499881,3169.15,511984.66,31.48,6438.28,0.0,0.0
Australia,Oceania,2020-10-21,25499881,2236.67,514221.33,27.04,6465.31,0.0,0.0
Australia,Oceania,2020-10-22,25499881,1988.85,516210.18,23.05,6488.36,0.0,0.0
Australia,Oceania,2020-10-23,25499881,1731.29,517941.47,12.76,6501.11,0.0,0.0
Australia,Oceania,2020-10-24,25499881,2687.34,520628.82,22.0,6523.12,0.0,0.0
Australia,Oceania,2020-10-25,25499881,2125.3,522754.12,20.86,6543.98,0.0,0.0
Australia,Oceania,2020-10-26,25499881,1988.78,524742.9,24.9,6568.88,0.0,0.0
Australia,Oceania,2020-10-27,25499881,2401.95,527144.85,22.77,6591.65,0.0,0.0
Australia,Oceania,2020-10-28,25499881,2530.66,529675.51,27.73,6619.38,0.0,0.0
Australia,Oceania,2020-10-29,25499881,2544.65,532220.16,15.45,6634.83,0.0,0.0
Australia,Oceania,2020-10-30,25499881,2349.66,534569.82,25.23,6660.06,0.0,0.0
Australia,Oceania,2020-10-31,25499881,2418.87,536988.69,37.22,6697.27,0.0,0.0
Australia,Oceania,2020-11-01,25499881,2465.18,539453.87,35.22,6732.5,0.0,0.0
Australia,Oceania,2020-11-02,25499881,2522.9,541976.77,29.58,6762.08,0.0,0.0
Australia,Oceania,2020-11-03,25499881,2575.4,544552.17,32.85,6794.93,0.0,0.0
Australia,Oceania,2020-11-04,25499881,2831.59,547383.76,27.35,6822.28,0.0,0.0
Australia,Oceania,2020-11-05,25499881,2490.41,549874.17,42.88,6865.16,0.0,0.0
Australia,Oceania,2020-11-06,25499881,2207.15,552081.32,43.03,6908.19,0.0,0.0
Australia,Oceania,2020-11-07,25499881,2465.13,554546.45,30.9,6939.09,0.0,0.0
Australia,Oceania,2020-11-08,25499881,2802.23,557348.68,54.35,6993.44,0.0,0.0
Australia,Oceania,2020-11-09,25499881,1936.06,559284.74,17.79,7011.24,0.0,0.0
Australia,Oceania,2020-11-10,25499881,1961.14,561245.88,13.53,7024.76,0.0,0.0
Australia,Oceania,2020-11-11,25499881,2928.95,564174.83,29.47,7054.23,0.0,0.0
Australia,Oceania,2020-11-12,25499881,3162.8,567337.63,36.2,7090.43,0.0,0.0
Australia,Oceania,2020-11-13,25499881,2211.18,569548.81,45.03,7135.46,0.0,0.0
Australia,Oceania,2020-11-14,25499881,2712.4,572261.21,30.3,7165.76,0.0,0.0
Australia,Oceania,2020-11-15,25499881,2560.6,574821.81,23.85,7189.61,0.0,0.0
Australia,Oceania,2020-11-16,25499881,2632.28,577454.09,24.4,7214.01,0.0,0.0
Australia,Oceania,2020-11-17,25499881,2853.55,580307.64,43.36,7257.37,0.0,0.0
Australia,Oceania,2020-11-18,25499881,2317.02,582624.67,35.78,7293.15,0.0,0.0
Australia,Oceania,2020-11-19,25499881,2404.76,585029.43,24.97,7318.13,0.0,0.0
Australia,Oceania,2020-11-20,25499881,2709.42,587738.85,17.51,7335.63,0.0,0.0
Australia,Oceania,2020-11-21,25499881,2786.33,590525.18,24.41,7360.04,0.0,0.0
Australia,Oceania,2020-11-22,25499881,2465.24,592990.42,43.35,7403.39,0.0,0.0
Australia,Oceania,2020-11-23,25499881,3157.54,596147.96,43.4,7446.8,0.0,0.0
Australia,Oceania,2020-11-24,25499881,2756.55,598904.51,33.6,7480.4,0.0,0.0
Australia,Oceania,2020-11-25,25499881,2776.26,601680.77,48.27,7528.66,0.0,0.0
Australia,Oceania,2020-11-26,25499881,3043.68,604724.45,52.19,7580.85,0.0,0.0
